frame,RGB
starcraft2_frame_0.jpg,"(46.79993161391172, 51.98068337241114, 52.64434837827277)"
starcraft2_frame_60.jpg,"(46.99315406408745, 52.072281652989545, 52.79145173896043)"
starcraft2_frame_120.jpg,"(47.004034779210535, 52.05247411098073, 52.765418620554925)"
starcraft2_frame_180.jpg,"(47.0296404845643, 52.106591930441645, 52.76999560375151)"
starcraft2_frame_240.jpg,"(42.14061156701839, 47.00830402500976, 47.180422039859344)"
Thomas_Brodie-Sangster_by_Gage_Skidmore.jpg,"(124.98488231168483, 125.23145006899308, 137.98375288994885)"
Trump.jpeg,"(94.00856810916177, 91.55272623781678, 101.35018152046784)"
