frame,RGB
siedler_frame_0.jpg,"(49.21021809895835, 110.13106445312488, 227.65774088541647)"
siedler_frame_30.jpg,"(64.345771484375, 78.39400390624992, 53.376051432291675)"
siedler_frame_60.jpg,"(37.81977213541667, 69.47027343750003, 58.690957031250036)"
siedler_frame_90.jpg,"(17.915266927083334, 21.178753255208342, 18.590553385416662)"
siedler_frame_120.jpg,"(16.985862630208345, 19.974876302083324, 18.053460286458343)"
Thomas_Brodie-Sangster_by_Gage_Skidmore.jpg,"(124.98488231168483, 125.23145006899308, 137.98375288994885)"
Trump.jpeg,"(94.00856810916177, 91.55272623781678, 101.35018152046784)"
